Date__(UT)__HR:MN,R.A._(ICRF/J2000.0)_DEC,APmag,S-brt,delta,deldot,S-O-T,/r,S-T-O
2015-Oct-23 00:00,10 55 28.30 +06 29 46.0,-4.54,1.41,0.668179868,13.0523979,46.4025,/L,91.434
2015-Oct-24 00:00,10 59 15.45 +06 13 12.8,-4.53,1.4,0.675719178,13.0583892,46.4227,/L,90.7993
2015-Oct-25 00:00,11 03 03.95 +05 56 15.0,-4.52,1.4,0.683261511,13.0628501,46.4354,/L,90.1718
2015-Oct-26 00:00,11 06 53.75 +05 38 53.2,-4.51,1.4,0.690805947,13.0656505,46.441,/L,89.5512
2015-Oct-27 00:00,11 10 44.81 +05 21 07.9,-4.5,1.39,0.698351487,13.0666476,46.4396,/L,88.9374
2015-Oct-28 00:00,11 14 37.10 +05 02 59.7,-4.49,1.39,0.705897051,13.0657185,46.4315,/L,88.3302
2015-Oct-29 00:00,11 18 30.55 +04 44 29.3,-4.49,1.39,0.713441503,13.06279,46.4169,/L,87.7295
2015-Oct-30 00:00,11 22 25.15 +04 25 37.1,-4.48,1.38,0.720983683,13.0578542,46.3961,/L,87.1349
2015-Oct-31 00:00,11 26 20.85 +04 06 24.0,-4.47,1.38,0.728522446,13.050965,46.3691,/L,86.5464
2015-Nov-01 00:00,11 30 17.61 +03 46 50.4,-4.46,1.38,0.73605669,13.0422215,46.3363,/L,85.9637
2015-Nov-02 00:00,11 34 15.41 +03 26 57.2,-4.45,1.37,0.743585378,13.031746,46.2978,/L,85.3867
2015-Nov-03 00:00,11 38 14.20 +03 06 45.0,-4.44,1.37,0.751107549,13.0196667,46.2539,/L,84.8152
2015-Nov-04 00:00,11 42 13.96 +02 46 14.5,-4.43,1.37,0.758622311,13.0061067,46.2047,/L,84.2489
2015-Nov-05 00:00,11 46 14.66 +02 25 26.4,-4.43,1.36,0.766128844,12.9911788,46.1503,/L,83.6878
2015-Nov-06 00:00,11 50 16.27 +02 04 21.4,-4.42,1.36,0.773626386,12.974986,46.0911,/L,83.1317
2015-Nov-07 00:00,11 54 18.78 +01 43 00.2,-4.41,1.36,0.781114237,12.9576236,46.0271,/L,82.5804
2015-Nov-08 00:00,11 58 22.17 +01 21 23.6,-4.4,1.35,0.788591746,12.9391824,45.9585,/L,82.0338
2015-Nov-09 00:00,12 02 26.41 +00 59 32.2,-4.39,1.35,0.796058316,12.9197511,45.8854,/L,81.4916
